                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.88637,                0.73847,                 1.1946,                0.88126,                0.92822,                0.91831,                0.68083,                 1.0283,                0.60846,                  1.245,              0.0008912,              0.0008912,              0.0008912
                     59,                0.92365,                0.73221,                 1.1713,                0.82819,                 0.9375,                0.91516,                0.68561,                 1.1176,                0.63887,                 1.3614,              0.0008714,              0.0008714,              0.0008714
                     60,                0.87165,                0.73168,                 1.1898,                0.88185,                0.93322,                0.93606,                0.70571,                 1.0942,                0.69744,                 1.3692,              0.0008516,              0.0008516,              0.0008516
                     61,                0.86486,                0.70314,                 1.1199,                0.93312,                0.87215,                0.91651,                 0.7606,                 0.9486,                 0.6504,                 1.2552,              0.0008318,              0.0008318,              0.0008318
                     62,                0.85301,                0.68009,                 1.1502,                 0.8817,                0.93195,                0.91851,                0.75064,                0.84863,                0.58195,                 1.2206,               0.000812,               0.000812,               0.000812
                     63,                0.82919,                0.70407,                 1.1638,                  0.931,                      1,                0.98441,                0.76868,                0.84283,                0.55103,                 1.2297,              0.0007922,              0.0007922,              0.0007922
                     64,                0.75021,                0.62168,                 1.0988,                      1,                0.87234,                0.93054,                0.74088,                0.97563,                0.58451,                 1.3062,              0.0007724,              0.0007724,              0.0007724
                     65,                0.82401,                0.68076,                 1.1491,                      1,                0.86433,                0.92582,                0.71908,                 1.0634,                0.59838,                 1.3783,              0.0007526,              0.0007526,              0.0007526
                     66,                0.82141,                0.68431,                 1.1327,                0.98459,                 0.9375,                0.96243,                0.67622,                 1.0475,                0.70597,                 1.3429,              0.0007328,              0.0007328,              0.0007328
                     67,                0.79799,                0.63941,                 1.1604,                0.86865,                 0.9375,                0.94394,                0.67178,                 1.0972,                0.73711,                 1.4349,               0.000713,               0.000713,               0.000713
                     68,                0.79587,                0.61822,                 1.1233,                0.92745,                  0.875,                0.93919,                0.65816,                 1.1036,                0.71604,                 1.3904,              0.0006932,              0.0006932,              0.0006932
                     69,                0.81063,                0.63008,                 1.0919,                0.93297,                0.87022,                0.92833,                0.67729,                 1.0139,                0.69505,                 1.2668,              0.0006734,              0.0006734,              0.0006734
                     70,                0.73247,                0.54955,                 1.0891,                0.92753,                  0.875,                0.92166,                0.72657,                 1.0632,                0.60609,                 1.4204,              0.0006536,              0.0006536,              0.0006536
                     71,                0.80774,                0.64962,                 1.1257,                0.98897,                  0.875,                0.93308,                0.73476,                 1.0962,                0.57204,                 1.4637,              0.0006338,              0.0006338,              0.0006338
                     72,                0.75037,                0.65215,                 1.1295,                0.87127,                 0.9375,                0.92893,                0.73803,                 1.0035,                0.55508,                 1.3388,               0.000614,               0.000614,               0.000614
                     73,                0.75962,                0.65124,                 1.1182,                0.87994,                 0.9375,                0.92469,                0.73517,                0.92405,                0.52842,                 1.2857,              0.0005942,              0.0005942,              0.0005942
                     74,                0.73844,                 0.6046,                 1.1402,                0.87366,                 0.9375,                0.92967,                0.73273,                0.90974,                0.53427,                 1.2449,              0.0005744,              0.0005744,              0.0005744
                     75,                0.71259,                0.61289,                 1.1143,                0.99627,                      1,                  0.995,                0.74946,                0.97616,                0.52107,                 1.2835,              0.0005546,              0.0005546,              0.0005546
                     76,                0.72036,                0.60092,                 1.1157,                0.92246,                      1,                0.98029,                 0.7274,                 1.0407,                0.57221,                 1.3256,              0.0005348,              0.0005348,              0.0005348
                     77,                0.70953,                0.57745,                 1.1059,                0.94031,                0.98529,                0.97324,                0.67645,                  1.094,                0.60529,                 1.3256,               0.000515,               0.000515,               0.000515
                     78,                0.69164,                0.57339,                  1.078,                0.92577,                 0.9375,                0.96615,                0.68648,                 1.1061,                0.63949,                 1.3061,              0.0004952,              0.0004952,              0.0004952
                     79,                0.67332,                0.54454,                 1.0653,                0.98573,                 0.9375,                0.98833,                 0.7064,                 1.0765,                0.62183,                 1.2651,              0.0004754,              0.0004754,              0.0004754
                     80,                0.63835,                0.51362,                  1.062,                0.93714,                0.93211,                0.93504,                0.68908,                 1.0683,                0.59662,                 1.2817,              0.0004556,              0.0004556,              0.0004556
                     81,                0.61675,                0.50819,                 1.0537,                0.82679,                 0.9375,                0.91602,                0.68856,                 1.1056,                0.60198,                 1.3623,              0.0004358,              0.0004358,              0.0004358
                     82,                0.70345,                0.57589,                 1.0886,                0.98712,                 0.8125,                0.92554,                0.68079,                 1.1606,                0.59954,                 1.4742,               0.000416,               0.000416,               0.000416
                     83,                0.71766,                0.54516,                 1.1037,                0.93279,                0.86788,                 0.9258,                0.71543,                 1.1442,                0.58723,                 1.4798,              0.0003962,              0.0003962,              0.0003962
                     84,                0.62164,                0.51637,                 1.0783,                0.93734,                0.93514,                0.93656,                0.72761,                  1.082,                0.55463,                 1.3438,              0.0003764,              0.0003764,              0.0003764
                     85,                0.66533,                0.52774,                 1.0669,                0.93552,                 0.9375,                0.93718,                0.72429,                 1.0656,                0.50818,                 1.3172,              0.0003566,              0.0003566,              0.0003566
                     86,                0.70542,                0.55999,                 1.0887,                0.93219,                 0.9375,                0.93771,                0.72419,                 1.0387,                0.49774,                  1.298,              0.0003368,              0.0003368,              0.0003368
                     87,                0.64073,                0.49089,                 1.0433,                      1,                0.92144,                0.94977,                0.70403,                 1.0802,                0.49896,                 1.3302,               0.000317,               0.000317,               0.000317
                     88,                0.59344,                  0.482,                 1.0191,                      1,                0.92802,                0.94146,                 0.7144,                 1.1224,                0.52705,                  1.386,              0.0002972,              0.0002972,              0.0002972
                     89,                0.65082,                0.53054,                 1.0418,                      1,                 0.9173,                 0.9422,                0.70511,                 1.1094,                0.51695,                 1.4127,              0.0002774,              0.0002774,              0.0002774
                     90,                0.62248,                 0.4969,                 1.0337,                  0.922,                 0.9375,                0.94041,                0.70643,                 1.1109,                0.51766,                 1.4125,              0.0002576,              0.0002576,              0.0002576
                     91,                0.50976,                0.39059,                0.95587,                 0.9258,                 0.9375,                0.93846,                0.70606,                 1.1119,                 0.5263,                  1.435,              0.0002378,              0.0002378,              0.0002378
                     92,                0.53665,                0.38828,                 1.0269,                0.92889,                 0.9375,                0.93758,                 0.6982,                  1.184,                0.53987,                 1.5107,               0.000218,               0.000218,               0.000218
                     93,                0.53089,                0.38198,                0.96395,                0.93033,                 0.9375,                0.93634,                0.67952,                 1.2133,                0.53674,                 1.5401,              0.0001982,              0.0001982,              0.0001982
                     94,                0.49196,                0.38436,                  0.959,                0.92949,                 0.9375,                0.93719,                0.69718,                 1.1778,                0.54157,                 1.5062,              0.0001784,              0.0001784,              0.0001784
                     95,                0.49492,                0.35281,                0.95206,                0.93017,                 0.9375,                0.93758,                0.68863,                 1.1464,                0.55369,                 1.5004,              0.0001586,              0.0001586,              0.0001586
                     96,                0.41867,                0.31671,                0.89089,                0.93005,                 0.9375,                0.93385,                0.68284,                 1.0862,                0.56299,                 1.4826,              0.0001388,              0.0001388,              0.0001388
                     97,                0.42868,                0.32523,                0.88668,                0.93131,                 0.9375,                0.93433,                0.68562,                 1.0607,                 0.5566,                 1.4471,               0.000119,               0.000119,               0.000119
                     98,                0.44265,                0.32034,                0.93753,                0.93113,                 0.9375,                0.93363,                 0.6862,                  1.051,                0.56868,                 1.4414,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.42443,                  0.318,                0.89852,                0.92902,                 0.9375,                0.93846,                0.69313,                 1.0504,                0.56236,                 1.4376,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.4391,                0.32289,                0.89938,                0.93109,                 0.9375,                 0.9401,                0.68049,                 1.0807,                0.55846,                  1.483,               5.96e-05,               5.96e-05,               5.96e-05
